LINK,WORD,LANGUAGE
podlasiak/common_voice_pl_20611377.opus,podlasiak,pl
podlasiak/common_voice_pl_20775307.opus,podlasiak,pl
podlasiak/common_voice_pl_20684910.opus,podlasiak,pl
podlasiak/common_voice_pl_20611434.opus,podlasiak,pl
podlasiak/common_voice_pl_20646857.opus,podlasiak,pl
podlasiak/common_voice_pl_20620798.opus,podlasiak,pl
podlasiak/common_voice_pl_20635061.opus,podlasiak,pl
podlasiak/common_voice_pl_20618900.opus,podlasiak,pl
podlasiak/common_voice_pl_20609263.opus,podlasiak,pl
podlasiak/common_voice_pl_20773865.opus,podlasiak,pl
podlasiak/common_voice_pl_20775960.opus,podlasiak,pl
podlasiak/common_voice_pl_20603774.opus,podlasiak,pl
podlasiak/common_voice_pl_20697774.opus,podlasiak,pl
podlasiak/common_voice_pl_20671011.opus,podlasiak,pl
podlasiak/common_voice_pl_20717706.opus,podlasiak,pl
podlasiak/common_voice_pl_20644562.opus,podlasiak,pl
podlasiak/common_voice_pl_20609893.opus,podlasiak,pl
podlasiak/common_voice_pl_20608945.opus,podlasiak,pl
podlasiak/common_voice_pl_20688584.opus,podlasiak,pl
podlasiak/common_voice_pl_20554703.opus,podlasiak,pl
podlasiak/common_voice_pl_20662574.opus,podlasiak,pl
podlasiak/common_voice_pl_20691195.opus,podlasiak,pl
podlasiak/common_voice_pl_20691298.opus,podlasiak,pl
podlasiak/common_voice_pl_20625304.opus,podlasiak,pl
podlasiak/common_voice_pl_20618797.opus,podlasiak,pl
podlasiak/common_voice_pl_20673570.opus,podlasiak,pl
podlasiak/common_voice_pl_20654834.opus,podlasiak,pl
podlasiak/common_voice_pl_20662623.opus,podlasiak,pl
podlasiak/common_voice_pl_20663216.opus,podlasiak,pl
podlasiak/common_voice_pl_20765324.opus,podlasiak,pl
podlasiak/common_voice_pl_20773853.opus,podlasiak,pl
podlasiak/common_voice_pl_20637800.opus,podlasiak,pl
podlasiak/common_voice_pl_20650367.opus,podlasiak,pl
podlasiak/common_voice_pl_20709727.opus,podlasiak,pl
podlasiak/common_voice_pl_20644659.opus,podlasiak,pl
podlasiak/common_voice_pl_20609159.opus,podlasiak,pl
podlasiak/common_voice_pl_20725659.opus,podlasiak,pl
